ID,text,level,,,,,,,,,,,,,,,
0,未知错误,1,,,,,,,,,,,,,,,
1,召唤师，你的钱包余额不足,1,,,,,,,,,,,,,,,
2,酷币不够啦，去商店搞点如何？,1,,,,,,,,,,,,,,,
3,目标武将不存在,1,,,,,,,,,,,,,,,
4,召唤师，进化材料要备足啊，不然我会先天性发育不良的,1,,,,,,,,,,,,,,,
5,今天的免费分解次数用完了，试试酷币分解吧,1,,,,,,,,,,,,,,,
6,太无情了！出战中的英雄你也要分解？,1,,,,,,,,,,,,,,,
7,只有等级达到上限的英雄才能进化，小瘪三就别来丢人了,1,,,,,,,,,,,,,,,
8,我的浑身充满力量！满级的我不需要继续合成！,1,,,,,,,,,,,,,,,
9,召唤师，你的英雄被锁定，不能作为合成材料。,1,,,,,,,,,,,,,,,
10,出战阵容中的英雄不能作为合成材料！狠心的召唤师！,1,,,,,,,,,,,,,,,
11,召唤师，这个英雄不能作为合成材料,1,,,,,,,,,,,,,,,
12,我已经达到最强状态，不用继续进化了,1,,,,,,,,,,,,,,,
13,太无情了！我还在为你战斗，你就要卖了我？至少要把我从出战阵容中拿下来吧,1,,,,,,,,,,,,,,,
14,嘿嘿，我被锁定了，你卖不了我！,1,,,,,,,,,,,,,,,
15,体力不足了，来点酷币恢复一下如何？,1,,,,,,,,,,,,,,,
16,嘿嘿，我被锁定了，你分解不了我,1,,,,,,,,,,,,,,,
17,#[装备名]已经达到强化上限，别点了。,1,,,,,,,,,,,,,,,
18,#[装备名]正在#[武将名]身上装备着，你确定要更换么？,1,,,,,,,,,,,,,,,
19,#[装备名]正在#[武将名]身上装备着，你确定要出售么？,1,,,,,,,,,,,,,,,
20,#[装备名]正在#[武将名]身上装备着，你确定要分解么？,1,,,,,,,,,,,,,,,
21,#[装备名]是#[颜色]品质的装备，你确定要分解么？,1,,,,,,,,,,,,,,,
22,#[装备名]是#[颜色]品质的装备，你确定要出售么？,1,,,,,,,,,,,,,,,
23,#[装备名]不存在,1,,,,,,,,,,,,,,,
24,材料不足，无法合成#[装备名],1,,,,,,,,,,,,,,,
25,此英雄无法转职,,,,,,,,,,,,,,,,
26,转职所需材料不足,,,,,,,,,,,,,,,,
27,召唤师，强化师已经很累了，无法继续强化，是否打赏一些酷币激励他一下？,,,,,,,,,,,,,,,,
28,地精工匠等级已达上限。,,,,,,,,,,,,,,,,
29,每日只能升级工匠5次，已达上限。,,,,,,,,,,,,,,,,
30,配方耗尽，请明日再来。,,,,,,,,,,,,,,,,
31,零件不存在,,,,,,,,,,,,,,,,
32,这个零件使用中,,,,,,,,,,,,,,,,
33,这个零件不能被吃掉,,,,,,,,,,,,,,,,
